origem,destino,distancia_km,custo_combustivel,custo_pedagio,custo_mao_de_obra,custo_total_frete
Jacarei,Jacarei,0.0,0.0,0.0,0.0,0.0
Jacarei,Extrema,79.0,276.48,94.79,165.89,537.17
Jacarei,Tres Rios,390.57,1367.01,468.69,820.2,2655.9
Jacarei,Alagoinhas,1840.35,6441.21,2208.42,3864.73,12514.36
Jacarei,Frutal,592.57,2074.01,711.09,1244.41,4029.51
Jacarei,Pouso Alegre,140.0,490.01,168.0,294.0,952.01
Jacarei,Gama,1050.65,3677.29,1260.79,2206.38,7144.45
Jacarei,Viamao,1135.47,3974.15,1362.56,2384.49,7721.2
Jacarei,Itupeva,141.02,493.57,169.22,296.14,958.93
Jacarei,Cabo de Santo Agostinho,2536.42,8877.48,3043.71,5326.49,17247.68
Extrema,Jacarei,79.0,276.48,94.79,165.89,537.17
Extrema,Extrema,0.0,0.0,0.0,0.0,0.0
Extrema,Tres Rios,408.21,1428.72,489.85,857.23,2775.8
Extrema,Alagoinhas,1809.0,6331.49,2170.8,3798.89,12301.18
Extrema,Frutal,514.73,1801.56,617.68,1080.93,3500.17
Extrema,Pouso Alegre,86.85,303.99,104.22,182.39,590.6
Extrema,Gama,974.93,3412.27,1169.92,2047.36,6629.56
Extrema,Viamao,1173.14,4105.98,1407.76,2463.59,7977.33
Extrema,Itupeva,110.32,386.12,132.38,231.67,750.17
Extrema,Cabo de Santo Agostinho,2508.32,8779.14,3009.99,5267.48,17056.61
Tres Rios,Jacarei,390.57,1367.01,468.69,820.2,2655.9
Tres Rios,Extrema,408.21,1428.72,489.85,857.23,2775.8
Tres Rios,Tres Rios,0.0,0.0,0.0,0.0,0.0
Tres Rios,Alagoinhas,1522.15,5327.51,1826.58,3196.51,10350.59
Tres Rios,Frutal,796.47,2787.65,955.77,1672.59,5416.01
Tres Rios,Pouso Alegre,350.27,1225.96,420.33,735.58,2381.87
Tres Rios,Gama,1064.17,3724.6,1277.01,2234.76,7236.37
Tres Rios,Viamao,1475.24,5163.32,1770.28,3097.99,10031.6
Tres Rios,Itupeva,516.12,1806.41,619.34,1083.85,3509.6
Tres Rios,Cabo de Santo Agostinho,2202.52,7708.81,2643.02,4625.29,14977.11
Alagoinhas,Jacarei,1840.35,6441.21,2208.42,3864.73,12514.36
Alagoinhas,Extrema,1809.0,6331.49,2170.8,3798.89,12301.18
Alagoinhas,Tres Rios,1522.15,5327.51,1826.58,3196.51,10350.59
Alagoinhas,Alagoinhas,0.0,0.0,0.0,0.0,0.0
Alagoinhas,Frutal,1775.95,6215.83,2131.14,3729.5,12076.48
Alagoinhas,Pouso Alegre,1722.25,6027.89,2066.7,3616.73,11711.32
Alagoinhas,Gama,1404.09,4914.32,1684.91,2948.59,9547.83
Alagoinhas,Viamao,2975.27,10413.43,3570.32,6248.06,20231.81
Alagoinhas,Itupeva,1907.84,6677.44,2289.41,4006.47,12973.32
Alagoinhas,Cabo de Santo Agostinho,704.13,2464.46,844.96,1478.67,4788.09
Frutal,Jacarei,592.57,2074.01,711.09,1244.41,4029.51
Frutal,Extrema,514.73,1801.56,617.68,1080.93,3500.17
Frutal,Tres Rios,796.47,2787.65,955.77,1672.59,5416.01
Frutal,Alagoinhas,1775.95,6215.83,2131.14,3729.5,12076.48
Frutal,Frutal,0.0,0.0,0.0,0.0,0.0
