id,production_line,plant,storage_limit
1,JAC_L1,Jacarei,150481
2,JAC_L2,Jacarei,177812
3,JAC_L3,Jacarei,161474
4,EXT_L1,Extrema,151095
5,EXT_L2,Extrema,178524
6,EXT_L3,Extrema,157736
7,TRE_L1,Tres Rios,165571
8,TRE_L2,Tres Rios,157555
9,TRE_L3,Tres Rios,155317
10,ALA_L1,Alagoinhas,133521
11,ALA_L2,Alagoinhas,124532
12,ALA_L3,Alagoinhas,132159
13,FRU_L1,Frutal,180069
14,FRU_L2,Frutal,125900
15,FRU_L3,Frutal,147564
16,POU_L1,Pouso Alegre,136990
17,POU_L2,Pouso Alegre,179171
18,POU_L3,Pouso Alegre,147050
19,GAM_L1,Gama,145980
20,GAM_L2,Gama,201360
21,GAM_L3,Gama,137826
22,VIA_L1,Viamao,155309
23,VIA_L2,Viamao,133494
24,VIA_L3,Viamao,175634
25,ITU_L1,Itupeva,156773
26,ITU_L2,Itupeva,165785
27,ITU_L3,Itupeva,146616
28,CAB_L1,Cabo de Santo Agostinho,166873
29,CAB_L2,Cabo de Santo Agostinho,144024
30,CAB_L3,Cabo de Santo Agostinho,171185
