id,production_line,plant,product_id,production_cost,inventory_cost
1,JAC_L1,Jacarei,H2OH_Limao,9.8,0.3
2,JAC_L1,Jacarei,Brahma_Lata,7.32,0.3536
3,JAC_L1,Jacarei,Schweppes_Citrus,11.69,0.3421
4,JAC_L1,Jacarei,Sukita_Laranja,8.85,0.3239
5,JAC_L1,Jacarei,Del_Valle_Uva,10.15,0.3622
6,JAC_L1,Jacarei,Spaten_Lata,10.96,0.4328
7,JAC_L1,Jacarei,Heineken_Lata,9.9,0.3926
8,JAC_L1,Jacarei,Del_Valle_Laranja,10.31,0.3011
9,JAC_L1,Jacarei,Amstel_Lata,10.33,0.3714
10,JAC_L1,Jacarei,Pepsi,11.49,0.3749
11,JAC_L1,Jacarei,Coca_Cola,11.32,0.3513
12,JAC_L1,Jacarei,Stella_Artois_Pure_Gold,11.6,0.3887
13,JAC_L1,Jacarei,Itaipava_Lata,10.47,0.3855
14,JAC_L1,Jacarei,Fanta_Uva,11.58,0.3904
15,JAC_L1,Jacarei,Del_Valle_Pessego,9.0,0.3355
16,JAC_L1,Jacarei,Sprite_Zero,9.4,0.3356
17,JAC_L1,Jacarei,Skol_Lata,11.8,0.3875
18,JAC_L1,Jacarei,Guarana_Antarctica,10.5,0.3481
19,JAC_L1,Jacarei,Eisenbahn_Pilsen,10.64,0.4002
20,JAC_L1,Jacarei,Kuat,10.19,0.3734
21,JAC_L1,Jacarei,Pepsi_Black,10.93,0.3818
22,JAC_L1,Jacarei,Sprite,10.61,0.3312
23,JAC_L1,Jacarei,Coca_Cola_Zero,11.4,0.351
24,JAC_L1,Jacarei,Itubaina,11.96,0.3567
25,JAC_L1,Jacarei,Guarana_Antarctica_Zero,9.98,0.3351
26,JAC_L1,Jacarei,Budweiser_Lata,12.79,0.3023
27,JAC_L1,Jacarei,Fanta_Laranja,11.21,0.3548
28,JAC_L1,Jacarei,Antarctica_Lata,12.54,0.2674
29,JAC_L1,Jacarei,Maguary_Caju,8.7,0.431
30,JAC_L1,Jacarei,Maguary_Maracuja,8.89,0.396
31,JAC_L2,Jacarei,H2OH_Limao,9.27,0.3204
32,JAC_L2,Jacarei,Brahma_Lata,9.03,0.3985
33,JAC_L2,Jacarei,Schweppes_Citrus,8.88,0.3085
34,JAC_L2,Jacarei,Sukita_Laranja,10.73,0.2748
35,JAC_L2,Jacarei,Del_Valle_Uva,9.82,0.3096
36,JAC_L2,Jacarei,Spaten_Lata,11.41,0.3866
37,JAC_L2,Jacarei,Heineken_Lata,11.33,0.306
38,JAC_L2,Jacarei,Del_Valle_Laranja,11.64,0.3489
39,JAC_L2,Jacarei,Amstel_Lata,11.69,0.3941
40,JAC_L2,Jacarei,Pepsi,10.53,0.3157
41,JAC_L2,Jacarei,Coca_Cola,8.56,0.4317
42,JAC_L2,Jacarei,Stella_Artois_Pure_Gold,9.65,0.3027
43,JAC_L2,Jacarei,Itaipava_Lata,10.32,0.3654
44,JAC_L2,Jacarei,Fanta_Uva,11.74,0.3137
45,JAC_L2,Jacarei,Del_Valle_Pessego,9.85,0.3641
46,JAC_L2,Jacarei,Sprite_Zero,10.21,0.3823
47,JAC_L2,Jacarei,Skol_Lata,9.9,0.2965
48,JAC_L2,Jacarei,Guarana_Antarctica,10.57,0.3725
49,JAC_L2,Jacarei,Eisenbahn_Pilsen,9.41,0.3831
50,JAC_L2,Jacarei,Kuat,10.35,0.3789
51,JAC_L2,Jacarei,Pepsi_Black,11.94,0.3113
52,JAC_L2,Jacarei,Sprite,11.32,0.3982
53,JAC_L2,Jacarei,Coca_Cola_Zero,9.88,0.3732
54,JAC_L2,Jacarei,Itubaina,10.77,0.3576
55,JAC_L2,Jacarei,Guarana_Antarctica_Zero,10.82,0.3614
56,JAC_L2,Jacarei,Budweiser_Lata,12.05,0.3473
57,JAC_L2,Jacarei,Fanta_Laranja,10.75,0.4295
58,JAC_L2,Jacarei,Antarctica_Lata,10.45,0.3375
