id,production_line,plant,product_id,production_cost,inventory_cost
1,JAC_L1,Jacarei,H2OH_Limao,9.17,0.3691
2,JAC_L1,Jacarei,Brahma_Lata,9.93,0.3765
3,JAC_L1,Jacarei,Schweppes_Citrus,11.18,0.3382
4,JAC_L1,Jacarei,Sukita_Laranja,10.12,0.3353
5,JAC_L1,Jacarei,Del_Valle_Uva,10.74,0.3569
6,JAC_L1,Jacarei,Spaten_Lata,11.07,0.3848
7,JAC_L1,Jacarei,Heineken_Lata,12.34,0.2905
8,JAC_L1,Jacarei,Del_Valle_Laranja,13.05,0.3696
9,JAC_L1,Jacarei,Amstel_Lata,12.44,0.3377
10,JAC_L1,Jacarei,Pepsi,11.38,0.3696
11,JAC_L1,Jacarei,Coca_Cola,9.6,0.3768
12,JAC_L1,Jacarei,Stella_Artois_Pure_Gold,9.41,0.3167
13,JAC_L1,Jacarei,Itaipava_Lata,11.29,0.3474
14,JAC_L1,Jacarei,Fanta_Uva,9.95,0.369
15,JAC_L1,Jacarei,Del_Valle_Pessego,11.52,0.3734
16,JAC_L1,Jacarei,Sprite_Zero,11.35,0.3233
17,JAC_L1,Jacarei,Skol_Lata,9.73,0.3465
18,JAC_L1,Jacarei,Guarana_Antarctica,10.02,0.3473
19,JAC_L1,Jacarei,Eisenbahn_Pilsen,8.8,0.3828
20,JAC_L1,Jacarei,Kuat,8.6,0.376
21,JAC_L1,Jacarei,Pepsi_Black,11.38,0.3471
22,JAC_L1,Jacarei,Sprite,10.68,0.3123
23,JAC_L1,Jacarei,Coca_Cola_Zero,10.45,0.3431
24,JAC_L1,Jacarei,Itubaina,10.47,0.3564
25,JAC_L1,Jacarei,Guarana_Antarctica_Zero,10.57,0.3748
26,JAC_L1,Jacarei,Budweiser_Lata,10.02,0.3825
27,JAC_L1,Jacarei,Fanta_Laranja,7.5,0.3353
28,JAC_L1,Jacarei,Antarctica_Lata,10.69,0.3425
29,JAC_L1,Jacarei,Maguary_Caju,10.08,0.3919
30,JAC_L1,Jacarei,Maguary_Maracuja,12.64,0.3529
31,JAC_L2,Jacarei,H2OH_Limao,12.21,0.3473
32,JAC_L2,Jacarei,Brahma_Lata,10.92,0.3723
33,JAC_L2,Jacarei,Schweppes_Citrus,10.46,0.339
34,JAC_L2,Jacarei,Sukita_Laranja,7.93,0.4027
35,JAC_L2,Jacarei,Del_Valle_Uva,11.89,0.3945
36,JAC_L2,Jacarei,Spaten_Lata,10.36,0.3698
37,JAC_L2,Jacarei,Heineken_Lata,8.22,0.4257
38,JAC_L2,Jacarei,Del_Valle_Laranja,10.18,0.4263
39,JAC_L2,Jacarei,Amstel_Lata,10.73,0.2852
40,JAC_L2,Jacarei,Pepsi,12.0,0.3722
41,JAC_L2,Jacarei,Coca_Cola,11.28,0.2627
42,JAC_L2,Jacarei,Stella_Artois_Pure_Gold,11.14,0.3017
43,JAC_L2,Jacarei,Itaipava_Lata,10.63,0.2967
44,JAC_L2,Jacarei,Fanta_Uva,10.13,0.3445
45,JAC_L2,Jacarei,Del_Valle_Pessego,11.8,0.2926
46,JAC_L2,Jacarei,Sprite_Zero,11.9,0.3355
47,JAC_L2,Jacarei,Skol_Lata,10.52,0.3546
48,JAC_L2,Jacarei,Guarana_Antarctica,9.24,0.3682
49,JAC_L2,Jacarei,Eisenbahn_Pilsen,8.11,0.2185
50,JAC_L2,Jacarei,Kuat,13.25,0.387
51,JAC_L2,Jacarei,Pepsi_Black,7.44,0.3634
52,JAC_L2,Jacarei,Sprite,8.98,0.3297
53,JAC_L2,Jacarei,Coca_Cola_Zero,11.72,0.4179
54,JAC_L2,Jacarei,Itubaina,11.27,0.378
55,JAC_L2,Jacarei,Guarana_Antarctica_Zero,10.34,0.3697
56,JAC_L2,Jacarei,Budweiser_Lata,10.64,0.3562
57,JAC_L2,Jacarei,Fanta_Laranja,10.72,0.406
58,JAC_L2,Jacarei,Antarctica_Lata,11.06,0.3529
59,JAC_L2,Jacarei,Maguary_Caju,9.96,0.3397
60,JAC_L2,Jacarei,Maguary_Maracuja,10.96,0.3753
61,JAC_L3,Jacarei,H2OH_Limao,12.27,0.3297
62,JAC_L3,Jacarei,Brahma_Lata,9.88,0.4125
63,JAC_L3,Jacarei,Schweppes_Citrus,10.12,0.3762
64,JAC_L3,Jacarei,Sukita_Laranja,12.5,0.3548
65,JAC_L3,Jacarei,Del_Valle_Uva,10.13,0.3431
66,JAC_L3,Jacarei,Spaten_Lata,12.56,0.2823
67,JAC_L3,Jacarei,Heineken_Lata,11.1,0.3601
68,JAC_L3,Jacarei,Del_Valle_Laranja,10.48,0.3581
69,JAC_L3,Jacarei,Amstel_Lata,11.96,0.3742
70,JAC_L3,Jacarei,Pepsi,11.17,0.3137
71,JAC_L3,Jacarei,Coca_Cola,11.29,0.396
