production_line,product_id,custo_producao_por_lata
JAC_L1,Coca_Cola,0.2498
JAC_L1,Fanta_Laranja,0.4803
JAC_L1,Fanta_Uva,0.3928
JAC_L1,Sprite,0.3395
JAC_L1,Kuat,0.1624
JAC_L1,Schweppes_Citrus,0.1624
JAC_L1,Del_Valle_Pessego,0.1232
JAC_L1,Del_Valle_Uva,0.4465
JAC_L1,H2OH_Limao,0.3404
JAC_L1,H2OH_Maracuja,0.3832
JAC_L1,Brahma_Lata,0.1082
JAC_L1,Antarctica_Lata,0.488
JAC_L1,Skol_Lata,0.433
JAC_L1,Bohemia_Lata,0.1849
JAC_L1,Budweiser_Lata,0.1727
JAC_L1,Corona_Lata,0.1734
JAC_L1,Stella_Artois_Lata,0.2217
JAC_L1,Heineken_Lata,0.3099
JAC_L1,Amstel_Lata,0.2728
JAC_L1,Eisenbahn_Lata,0.2165
JAC_L1,Pepsi,0.3447
JAC_L1,Pepsi_Black,0.1558
JAC_L1,Guarana_Antarctica,0.2169
JAC_L1,Guarana_Jesus,0.2465
JAC_L1,Tonica_Schweppes,0.2824
JAC_L1,Fusion_Manga,0.4141
JAC_L1,Fusion_Morango,0.1799
JAC_L1,Itubaiana_Laranja,0.3057
JAC_L1,Itubaiana_Uva,0.337
JAC_L1,Itubaiana_Limao,0.1186
JAC_L2,Coca_Cola,0.343
JAC_L2,Fanta_Laranja,0.1682
JAC_L2,Fanta_Uva,0.126
JAC_L2,Sprite,0.4796
JAC_L2,Kuat,0.4863
JAC_L2,Schweppes_Citrus,0.4234
JAC_L2,Del_Valle_Pessego,0.2218
JAC_L2,Del_Valle_Uva,0.1391
JAC_L2,H2OH_Limao,0.3737
JAC_L2,H2OH_Maracuja,0.2761
JAC_L2,Brahma_Lata,0.1488
JAC_L2,Antarctica_Lata,0.2981
JAC_L2,Skol_Lata,0.1138
JAC_L2,Bohemia_Lata,0.4637
JAC_L2,Budweiser_Lata,0.2035
JAC_L2,Corona_Lata,0.365
JAC_L2,Stella_Artois_Lata,0.2247
JAC_L2,Heineken_Lata,0.308
JAC_L2,Amstel_Lata,0.3187
JAC_L2,Eisenbahn_Lata,0.1739
JAC_L2,Pepsi,0.4878
JAC_L2,Pepsi_Black,0.4101
JAC_L2,Guarana_Antarctica,0.4758
JAC_L2,Guarana_Jesus,0.4579
JAC_L2,Tonica_Schweppes,0.3392
JAC_L2,Fusion_Manga,0.4687
JAC_L2,Fusion_Morango,0.1354
JAC_L2,Itubaiana_Laranja,0.1784
JAC_L2,Itubaiana_Uva,0.1181
JAC_L2,Itubaiana_Limao,0.2301
JAC_L3,Coca_Cola,0.2555
JAC_L3,Fanta_Laranja,0.2085
JAC_L3,Fanta_Uva,0.4315
JAC_L3,Sprite,0.2427
JAC_L3,Kuat,0.2124
JAC_L3,Schweppes_Citrus,0.3171
JAC_L3,Del_Valle_Pessego,0.1564
JAC_L3,Del_Valle_Uva,0.4209
JAC_L3,H2OH_Limao,0.1298
JAC_L3,H2OH_Maracuja,0.4948
JAC_L3,Brahma_Lata,0.4089
JAC_L3,Antarctica_Lata,0.1795
JAC_L3,Skol_Lata,0.1022
JAC_L3,Bohemia_Lata,0.4262
JAC_L3,Budweiser_Lata,0.3827
JAC_L3,Corona_Lata,0.3916
JAC_L3,Stella_Artois_Lata,0.4085
JAC_L3,Heineken_Lata,0.1296
JAC_L3,Amstel_Lata,0.2434
JAC_L3,Eisenbahn_Lata,0.1463
JAC_L3,Pepsi,0.4452
JAC_L3,Pepsi_Black,0.3493
JAC_L3,Guarana_Antarctica,0.2324
JAC_L3,Guarana_Jesus,0.1254
JAC_L3,Tonica_Schweppes,0.2244
JAC_L3,Fusion_Manga,0.2301
