cenario,plant,linha,periodo,mu_hora_maquina,gamma_armazenagem,unidade
60,Jacarei,JAC_L1,1,-1358.5843948500024,0.0,lata
60,Jacarei,JAC_L1,2,-1222.675539400001,0.0,lata
60,Jacarei,JAC_L1,3,-1696.8300854999998,0.0,lata
60,Jacarei,JAC_L1,4,-1557.6285815999963,0.0,lata
60,Jacarei,JAC_L1,5,-914.688301000002,0.0,lata
60,Jacarei,JAC_L1,6,-868.2363117000059,0.0,lata
60,Jacarei,JAC_L1,7,-1295.8881019000037,0.0,lata
60,Jacarei,JAC_L1,8,-1220.669398199996,0.0,lata
60,Jacarei,JAC_L1,9,-1590.9198508000009,0.0,lata
60,Jacarei,JAC_L1,10,-1187.8269772500007,0.0,lata
60,Jacarei,JAC_L1,11,-435.29435100000046,0.0,lata
60,Jacarei,JAC_L1,12,-938.8325472000015,0.0,lata
60,Jacarei,JAC_L1,13,-1285.6603871999996,0.0,lata
60,Jacarei,JAC_L1,14,0.0,0.0,lata
60,Jacarei,JAC_L1,15,0.0,0.0,lata
60,Jacarei,JAC_L2,1,0.0,0.0,lata
60,Jacarei,JAC_L2,2,-435.7582726000037,0.0,lata
60,Jacarei,JAC_L2,3,-392.7804046999936,0.0,lata
60,Jacarei,JAC_L2,4,-894.2615504999958,0.0,lata
60,Jacarei,JAC_L2,5,-1207.1860709999964,0.0,lata
60,Jacarei,JAC_L2,6,-1826.922384999998,0.0,lata
60,Jacarei,JAC_L2,7,-273.66693070000474,0.0,lata
60,Jacarei,JAC_L2,8,0.0,0.0,lata
60,Jacarei,JAC_L2,9,0.0,0.0,lata
60,Jacarei,JAC_L2,10,0.0,0.0,lata
60,Jacarei,JAC_L2,11,0.0,0.0,lata
60,Jacarei,JAC_L2,12,0.0,0.0,lata
60,Jacarei,JAC_L2,13,-439.3919208000025,0.0,lata
60,Jacarei,JAC_L2,14,0.0,0.0,lata
60,Jacarei,JAC_L2,15,0.0,0.0,lata
60,Jacarei,JAC_L3,1,-313.1999999999989,0.0,lata
60,Jacarei,JAC_L3,2,-362.2563041999965,0.0,lata
60,Jacarei,JAC_L3,3,-865.8108346999943,0.0,lata
60,Jacarei,JAC_L3,4,-189.79500994999944,0.0,lata
60,Jacarei,JAC_L3,5,-361.88239859999885,0.0,lata
60,Jacarei,JAC_L3,6,-764.5989968000013,0.0,lata
60,Jacarei,JAC_L3,7,-549.706678200002,0.0,lata
60,Jacarei,JAC_L3,8,-323.2776062999965,0.0,lata
60,Jacarei,JAC_L3,9,0.0,0.0,lata
60,Jacarei,JAC_L3,10,-37.25349989999995,0.0,lata
60,Jacarei,JAC_L3,11,-186.44682699999794,0.0,lata
60,Jacarei,JAC_L3,12,-201.23649719999776,0.0,lata
60,Jacarei,JAC_L3,13,-647.6527996999957,0.0,lata
60,Jacarei,JAC_L3,14,0.0,0.0,lata
60,Jacarei,JAC_L3,15,-339.79999999999745,0.0,lata
60,Extrema,EXT_L1,1,-635.9831308999983,0.0,lata
60,Extrema,EXT_L1,2,0.0,0.0,lata
60,Extrema,EXT_L1,3,0.0,0.0,lata
60,Extrema,EXT_L1,4,0.0,0.0,lata
60,Extrema,EXT_L1,5,0.0,0.0,lata
60,Extrema,EXT_L1,6,0.0,0.0,lata
60,Extrema,EXT_L1,7,0.0,0.0,lata
60,Extrema,EXT_L1,8,0.0,0.0,lata
60,Extrema,EXT_L1,9,0.0,0.0,lata
60,Extrema,EXT_L1,10,0.0,0.0,lata
60,Extrema,EXT_L1,11,-398.4966000000004,0.0,lata
60,Extrema,EXT_L1,12,0.0,0.0,lata
60,Extrema,EXT_L1,13,-417.7548000000006,0.0,lata
60,Extrema,EXT_L1,14,0.0,0.0,lata
60,Extrema,EXT_L1,15,0.0,0.0,lata
60,Extrema,EXT_L2,1,0.0,0.0,lata
60,Extrema,EXT_L2,2,0.0,0.0,lata
60,Extrema,EXT_L2,3,0.0,0.0,lata
60,Extrema,EXT_L2,4,0.0,0.0,lata
60,Extrema,EXT_L2,5,0.0,0.0,lata
60,Extrema,EXT_L2,6,-113.58305244999974,0.0,lata
60,Extrema,EXT_L2,7,0.0,0.0,lata
60,Extrema,EXT_L2,8,0.0,0.0,lata
60,Extrema,EXT_L2,9,0.0,0.0,lata
60,Extrema,EXT_L2,10,0.0,0.0,lata
60,Extrema,EXT_L2,11,0.0,0.0,lata
60,Extrema,EXT_L2,12,0.0,0.0,lata
60,Extrema,EXT_L2,13,0.0,0.0,lata
60,Extrema,EXT_L2,14,0.0,0.0,lata
60,Extrema,EXT_L2,15,0.0,0.0,lata
60,Extrema,EXT_L3,1,-136.48945950000052,0.0,lata
60,Extrema,EXT_L3,2,0.0,0.0,lata
60,Extrema,EXT_L3,3,-247.36013930000263,0.0,lata
60,Extrema,EXT_L3,4,0.0,0.0,lata
60,Extrema,EXT_L3,5,-194.58024374999877,0.0,lata
60,Extrema,EXT_L3,6,0.0,0.0,lata
60,Extrema,EXT_L3,7,-400.01113500000247,0.0,lata
60,Extrema,EXT_L3,8,-865.4205073500034,0.0,lata
60,Extrema,EXT_L3,9,0.0,0.0,lata
60,Extrema,EXT_L3,10,0.0,0.0,lata
60,Extrema,EXT_L3,11,0.0,0.0,lata
60,Extrema,EXT_L3,12,0.0,0.0,lata
60,Extrema,EXT_L3,13,0.0,0.0,lata
60,Extrema,EXT_L3,14,-427.5952197000006,0.0,lata
60,Extrema,EXT_L3,15,-124.91936535000059,0.0,lata
60,Tres Rios,TRE_L1,1,-471.9814736999997,0.0,lata
60,Tres Rios,TRE_L1,2,-741.183070799998,0.0,lata
60,Tres Rios,TRE_L1,3,-1188.2133080999993,0.0,lata
60,Tres Rios,TRE_L1,4,-1618.5420491999994,0.0,lata
60,Tres Rios,TRE_L1,5,-1935.4095804000008,0.0,lata
60,Tres Rios,TRE_L1,6,-1771.6158242499969,0.0,lata
60,Tres Rios,TRE_L1,7,-866.6492584499974,0.0,lata
60,Tres Rios,TRE_L1,8,-314.01638009999806,0.0,lata
60,Tres Rios,TRE_L1,9,-658.2508519499988,0.0,lata
60,Tres Rios,TRE_L1,10,-1067.2369046999993,0.0,lata
