cenario,produto,plant,linha,periodo,pi_demanda,saturado,unidade
75,Pepsi_Black,Jacarei,JAC_L1,1,-7.043279500000001,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,2,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,3,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,4,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,5,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,6,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,7,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,8,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,9,-8.258613449999999,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,10,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,11,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,12,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,13,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,14,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L1,15,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,1,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,2,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,3,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,4,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,5,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,6,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,7,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,8,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,9,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,10,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,11,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,12,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,13,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,14,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L2,15,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,1,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,2,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,3,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,4,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,5,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,6,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,7,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,8,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,9,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,10,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,11,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,12,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,13,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,14,-0.0,false,lata
75,Pepsi_Black,Jacarei,JAC_L3,15,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,1,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,2,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,3,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,4,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,5,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,6,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,7,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,8,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,9,-8.257569649999999,false,lata
75,Pepsi_Black,Extrema,EXT_L1,10,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,11,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,12,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,13,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,14,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L1,15,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,1,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,2,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,3,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,4,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,5,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,6,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,7,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,8,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,9,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,10,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,11,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,12,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,13,-8.457047000000001,false,lata
75,Pepsi_Black,Extrema,EXT_L2,14,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L2,15,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,1,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,2,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,3,-7.365527450000001,false,lata
75,Pepsi_Black,Extrema,EXT_L3,4,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,5,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,6,-7.362449800000001,false,lata
75,Pepsi_Black,Extrema,EXT_L3,7,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,8,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,9,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,10,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,11,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,12,-8.161147000000001,false,lata
75,Pepsi_Black,Extrema,EXT_L3,13,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,14,-0.0,false,lata
75,Pepsi_Black,Extrema,EXT_L3,15,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,1,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,2,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,3,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,4,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,5,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,6,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,7,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,8,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,9,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,10,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,11,-7.851313600000002,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,12,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,13,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,14,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L1,15,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,1,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,2,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,3,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,4,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,5,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,6,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,7,-7.675791200000001,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,8,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,9,-8.269152649999999,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,10,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,11,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,12,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,13,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,14,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L2,15,-0.0,false,lata
75,Pepsi_Black,Tres Rios,TRE_L3,1,-0.0,false,lata
