cenario,status,custo_producao,custo_estoque,custo_logistica,custo_penalidade,custo_total,demanda_total,atendido,nao_atendido,taxa_atendimento,caminhoes,fabrica_quebrada,limite_caminhoes,fator_demanda
50,OPTIMAL,7.2528249e7,138070.02,302593.28,0.0,7.296891231e7,8.642598e6,8.642598e6,0.0,100.0,44.2,Nenhuma,80,1.0
55,OPTIMAL,8.202331525e7,174844.43,340040.54,0.0,8.253820022e7,9.563246e6,9.563246e6,0.0,100.0,50.3,Nenhuma,80,1.0
60,OPTIMAL,8.721584906e7,284389.21,344027.88,0.0,8.784426614e7,1.0389885e7,1.0389885e7,0.0,100.0,54.1,Nenhuma,80,1.0
65,OPTIMAL,9.58874079e7,228772.73,398666.13,0.0,9.651484676e7,1.1198224e7,1.1198224e7,0.0,100.0,57.1,Nenhuma,80,1.0
70,OPTIMAL,9.882860133e7,361313.4,474193.36,0.0,9.966410809e7,1.2093425e7,1.2093425e7,0.0,100.0,64.5,Nenhuma,80,1.0
75,OPTIMAL,1.1121356044e8,373634.02,492639.65,0.0,1.1207983411e8,1.2911917e7,1.2911917e7,0.0,100.0,68.1,Nenhuma,80,1.0
80,OPTIMAL,1.1708221417e8,393195.35,511830.1,0.0,1.1798723962e8,1.3911523e7,1.3911523e7,0.0,100.0,72.2,Nenhuma,80,1.0
85,OPTIMAL,1.2712400623e8,333164.49,517176.55,0.0,1.2797434727e8,1.4652455e7,1.4652455e7,0.0,100.0,74.6,Nenhuma,80,1.0
90,OPTIMAL,1.3525935642e8,474407.44,559492.82,0.0,1.3629325668e8,1.5602841e7,1.5602841e7,0.0,100.0,81.7,Nenhuma,80,1.0
95,OPTIMAL,1.423274172e8,431103.56,592831.78,0.0,1.4335135254e8,1.6434941e7,1.6434941e7,0.0,100.0,84.1,Nenhuma,80,1.0
100,OPTIMAL,1.512939338e8,62068.91,579040.56,2.211393e10,2.226586504327e10,1.7323468e7,1.7301354e7,22114.0,99.87,82.5,Nenhuma,80,1.0
105,OPTIMAL,1.4934517008e8,720748.3,636286.11,9.1956697e11,9.197176722045e11,1.8149455e7,1.7229888e7,919567.0,94.93,92.6,Nenhuma,80,1.0
110,OPTIMAL,1.5160880731e8,650923.68,609063.26,1.74352996e12,1.74368282879425e12,1.9095722e7,1.7352192e7,1.74353e6,90.87,91.3,Nenhuma,80,1.0
115,OPTIMAL,1.4592141854e8,610681.81,633883.03,2.58217958e12,2.58232674598339e12,1.9887716e7,1.7305536e7,2.58218e6,87.02,92.5,Nenhuma,80,1.0
120,OPTIMAL,1.481910711e8,598685.01,579577.67,3.48718705e12,3.48733641933378e12,2.0702747e7,1.721556e7,3.487187e6,83.16,89.6,Nenhuma,80,1.0
125,OPTIMAL,1.4821400221e8,483408.57,583972.85,4.33921574e12,4.33936502138363e12,2.1675664e7,1.7336448e7,4.339216e6,79.98,91.4,Nenhuma,80,1.0
130,OPTIMAL,1.4615609591e8,601520.01,574110.91,5.1479754e12,5.14812273172683e12,2.2441583e7,1.7293608e7,5.147975e6,77.06,89.9,Nenhuma,80,1.0
135,OPTIMAL,1.4609639297e8,1.03254939e6,595984.64,6.08962708e12,6.089774804927e12,2.3375387e7,1.728576e7,6.089627e6,73.95,95.5,Nenhuma,80,1.0
140,OPTIMAL,1.4844997101e8,790424.54,592233.15,6.87175356e12,6.87190339262869e12,2.4201626e7,1.7329872e7,6.871754e6,71.61,91.4,Nenhuma,80,1.0
145,OPTIMAL,1.4389557921e8,639923.82,583409.47,7.78962312e12,7.7897682389125e12,2.5050879e7,1.7261256e7,7.789623e6,68.9,91.1,Nenhuma,80,1.0
150,OPTIMAL,1.4770833738e8,724640.02,561510.61,8.60357217e12,8.60372116448802e12,2.5914916e7,1.7311344e7,8.603572e6,66.8,90.8,Nenhuma,80,1.0
